Age (bin),Date of hire,Date of last perf. Review,Date of termination,Dept,DOB,Employee ID,Employment status,Gender,Manager Name,Marital Status,Perf. Score,Position,Termination reason,Absences,Age,Emp. Sat.,Late days,Salary
40,10/9/2011,1/25/2014,2/9/2014,Operations,10/11/1985,100177,Voluntarily Terminated,F,Emily Albright,Single,Met Expectations,Production Technician II,Unhappy,8,40,3,0,79546
40,10/9/2011,7/15/2018,7/30/2018,Operations,12/21/1985,100178,Voluntarily Terminated,M,Micheal Miller,Divorced,Met Expectations,Production Technician I,Went for higher paying job,19,40,5,0,62744
30,10/11/2011,1/10/2018,1/25/2018,Operations,8/29/1988,100179,Voluntarily Terminated,M,Will Bailey,Single,Improvement Needed,Production Technician I,Career Change,8,37,5,0,57326
50,10/13/2011,3/29/2015,4/13/2015,Operations,8/23/1973,100180,Voluntarily Terminated,F,Will Bailey,Married,Met Expectations,Production Technician I,Went for higher paying job,12,52,5,0,57276
50,10/15/2011,8/29/2019,,IT,10/14/1974,100181,Active,F,Wilson Davis,Married,Met Expectations,IT Support,NA - Still Employed,9,51,3,0,70253
30,10/17/2011,6/1/2016,6/16/2016,Operations,6/15/1986,100182,Terminated for Cause,F,Karen Linberg,Married,Improvement Needed,Production Technician I,Attendance,4,39,4,0,62113
40,10/18/2011,11/5/2011,11/20/2011,Operations,1/16/1982,100183,Voluntarily Terminated,F,David Clarke,Divorced,Met Expectations,Production Technician II,Higher education,16,43,4,0,69268
50,10/20/2011,12/26/2015,1/10/2016,Operations,11/10/1972,100184,Terminated for Cause,M,Jan Ramsey,Married,Met Expectations,Production Manager,Attendance,13,53,4,0,83025
50,10/21/2011,1/12/2016,1/27/2016,Operations,10/31/1974,100185,Voluntarily Terminated,M,Emily Albright,Married,Met Expectations,Production Technician I,Attendance,18,51,3,0,53758
30,10/22/2011,1/7/2016,1/22/2016,Operations,6/30/1986,100186,Voluntarily Terminated,F,Erik Baker,Married,Met Expectations,Production Technician I,Unhappy,6,39,5,0,65014
30,10/22/2011,8/2/2016,8/17/2016,Operations,7/9/1986,100187,Terminated for Cause,F,Lindsay Graham,Married,Exceeded Expectations,Production Technician I,Misconduct,0,39,5,0,53981
30,10/23/2011,4/3/2014,4/18/2014,Operations,9/26/1989,100188,Voluntarily Terminated,M,Will Bailey,Single,Met Expectations,Production Technician I,Higher education,6,36,3,0,55143
50,10/26/2011,6/15/2013,6/30/2013,Operations,5/6/1973,100189,Voluntarily Terminated,F,Lindsay Graham,Single,Met Expectations,Production Technician II,Attendance,0,52,4,0,70476
50,10/26/2011,8/25/2014,9/9/2014,Operations,8/26/1970,100190,Voluntarily Terminated,F,Emily Albright,Married,Met Expectations,Production Technician I,Went for higher paying job,2,55,5,0,47650
30,10/26/2011,9/30/2013,10/15/2013,Admin,7/2/1987,100191,Voluntarily Terminated,F,Chris Clayton,Married,Met Expectations,Administrative Assistant,Career Change,7,38,4,0,55026
50,10/28/2011,12/13/2017,12/28/2017,Operations,4/10/1975,100192,Voluntarily Terminated,F,David Clarke,Married,Met Expectations,Production Technician I,Found a better Job,13,50,5,0,56216
40,10/28/2011,7/9/2019,,Operations,9/29/1982,100193,Active,F,Amanda Gregory,Divorced,Met Expectations,Production Technician I,NA - Still Employed,4,43,4,0,50064
40,10/30/2011,2/7/2019,,Operations,3/27/1980,100194,Active,M,Brendan Pitt,Married,Met Expectations,Production Technician I,NA - Still Employed,3,45,4,0,65890
30,10/30/2011,5/18/2014,6/2/2014,Operations,12/13/1987,100195,Voluntarily Terminated,M,Will Bailey,Single,Met Expectations,Production Technician I,Attendance,7,38,5,0,60315
40,10/31/2011,5/2/2012,5/17/2012,Operations,12/29/1983,100196,Voluntarily Terminated,F,Karen Linberg,Divorced,Met Expectations,Production Technician I,Found a better Job,12,42,5,0,61234
50,11/15/2011,3/12/2019,,Operations,6/21/1970,100197,Active,M,Brendan Pitt,Divorced,Exceeded Expectations,Production Technician I,NA - Still Employed,5,55,4,0,62950
30,11/20/2011,6/11/2016,6/26/2016,Operations,12/6/1989,100198,Voluntarily Terminated,F,Will Bailey,Divorced,Met Expectations,Production Technician I,Higher education,2,36,4,0,51333
40,11/21/2011,9/20/2016,10/5/2016,Operations,6/28/1980,100199,Terminated for Cause,M,Amanda Gregory,Single,Improvement Needed,Production Technician I,Performance issues,4,45,4,0,61737
40,12/6/2011,3/5/2019,,Operations,7/26/1977,100200,Active,F,Micheal Miller,Married,Met Expectations,Production Technician I,NA - Still Employed,4,48,5,0,56007
50,12/15/2011,11/21/2019,,Operations,8/24/1974,100201,Active,F,Will Bailey,Married,Exceeded Expectations,Production Technician I,NA - Still Employed,17,51,5,0,48522
40,2/5/2012,4/5/2013,4/20/2013,Operations,1/9/1985,100202,Voluntarily Terminated,M,Amanda Gregory,Married,Met Expectations,Production Technician II,Went for higher paying job,3,40,3,0,66325
50,2/7/2012,2/8/2019,,Operations,8/22/1971,100203,Active,M,Emily Albright,Single,Met Expectations,Production Technician I,NA - Still Employed,1,54,3,0,52668
40,2/13/2012,10/4/2018,10/19/2018,Operations,9/29/1983,100204,Terminated for Cause,M,Micheal Miller,Single,Improvement Needed,Production Technician I,Attendance,20,42,5,0,61149
30,2/16/2012,3/3/2019,,Operations,11/8/1986,100205,Active,F,David Clarke,Single,Met Expectations,Production Technician I,NA - Still Employed,11,39,5,0,46999
40,2/18/2012,2/20/2019,,Operations,9/28/1976,100206,Active,F,Jan Ramsey,Married,Met Expectations,Production Manager,NA - Still Employed,2,49,5,0,65715
50,2/19/2012,10/27/2016,11/11/2016,Operations,3/19/1969,100207,Voluntarily Terminated,F,Lindsay Graham,Single,Met Expectations,Production Technician I,Found a better Job,16,56,5,0,63520
40,2/21/2012,2/5/2019,,Operations,1/17/1980,100208,Active,M,David Clarke,Married,Met Expectations,Production Technician I,NA - Still Employed,6,45,3,0,50033
50,2/22/2012,7/8/2015,7/23/2015,Operations,8/20/1975,100209,Voluntarily Terminated,M,Will Bailey,Married,Improvement Needed,Production Technician I,Sabbatical,4,50,4,0,57873
70,2/22/2012,1/26/2019,,Executive Office,10/26/1954,100210,Active,F,Board of Directors,Married,Met Expectations,President & CEO,NA - Still Employed,5,71,3,0,253971
30,2/23/2012,6/29/2013,7/14/2013,Operations,7/6/1991,100211,Voluntarily Terminated,F,David Clarke,Married,Met Expectations,Production Technician I,Found a better Job,19,34,4,0,55536
40,2/25/2012,3/19/2019,,Operations,4/11/1979,100212,Active,F,Erik Baker,Married,Met Expectations,Production Technician I,NA - Still Employed,9,46,3,0,60946
40,2/26/2012,2/20/2019,,Operations,8/19/1983,100213,Active,M,Lindsay Graham,Single,Met Expectations,Production Technician I,NA - Still Employed,3,42,5,0,62162
50,2/29/2012,9/16/2016,10/1/2016,Operations,1/17/1975,100214,Voluntarily Terminated,M,Amanda Gregory,Married,Met Expectations,Production Technician I,Unhappy,14,50,3,0,47720
40,3/2/2012,2/12/2019,,Operations,6/17/1980,100215,Active,F,Brendan Pitt,Married,Met Expectations,Production Technician II,NA - Still Employed,9,45,4,0,76485
30,3/4/2012,2/24/2019,,IT,8/3/1986,100216,Active,M,Jen Heinz,Married,Improvement Needed,IT Manager - Infra,NA - Still Employed,6,39,3,0,158441
30,3/12/2012,7/2/2019,,Operations,9/11/1987,100217,Active,F,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,3,38,5,0,55676
30,3/16/2012,2/10/2019,,Sales,1/15/1988,100218,Active,F,Jeff Newport,Single,Improvement Needed,Area Sales Manager,NA - Still Employed,19,37,2,0,59541
50,3/21/2012,3/13/2019,,Operations,2/5/1969,100219,Active,F,Brendan Pitt,Married,Improvement Needed,Production Technician I,NA - Still Employed,9,56,2,4,64665
30,5/16/2012,3/12/2019,,IT,1/3/1986,100220,Active,M,Wilson Davis,Single,Met Expectations,IT Support,NA - Still Employed,5,39,3,2,69787
30,5/17/2012,1/23/2019,,Sales,5/8/1990,100221,Active,M,Jeff Newport,Single,Met Expectations,Area Sales Manager,NA - Still Employed,17,35,4,0,58077
30,5/18/2012,2/27/2019,,Software Engineering,5/8/1987,100222,Active,F,Alan Mitchell,Married,Met Expectations,Software Engineer,NA - Still Employed,6,38,3,0,87488
40,5/19/2012,3/6/2019,,Operations,4/26/1982,100223,Active,M,Erik Baker,Married,Met Expectations,Production Technician I,NA - Still Employed,1,43,3,0,69122
30,5/21/2012,2/16/2019,,Sales,5/5/1989,100224,Active,M,Jeff Newport,Divorced,Met Expectations,Area Sales Manager,NA - Still Employed,1,36,4,0,71299
50,5/23/2012,2/16/2019,,Operations,10/30/1973,100225,Active,F,David Clarke,Single,Met Expectations,Production Technician I,NA - Still Employed,2,52,3,0,63524
50,5/23/2012,2/11/2019,,Operations,8/28/1968,100226,Active,F,Erik Baker,Single,Met Expectations,Production Technician I,NA - Still Employed,19,57,5,0,61791
40,5/29/2012,3/12/2019,,Operations,7/8/1980,100227,Active,F,Emily Albright,Single,Met Expectations,Production Technician II,NA - Still Employed,9,45,4,0,66227
70,6/11/2012,8/27/2013,9/11/2013,Operations,3/9/1953,100228,Voluntarily Terminated,F,Will Bailey,Married,Met Expectations,Production Technician II,Unhappy,5,72,3,0,72485
50,6/13/2012,2/8/2019,,Sales,6/17/1971,100229,Active,M,Lyndon Johnson,Single,Met Expectations,Area Sales Manager,NA - Still Employed,7,54,5,0,69698
50,7/5/2012,11/15/2014,11/30/2014,Sales,11/29/1969,100230,Voluntarily Terminated,M,Jeff Newport,Single,Met Expectations,Area Sales Manager,Relocated,8,56,5,0,74534
40,8/13/2012,11/25/2019,,Operations,12/23/1984,100231,Active,M,Karen Linberg,Single,Met Expectations,Production Technician I,NA - Still Employed,0,41,5,0,50388
30,8/21/2012,5/3/2016,5/18/2016,Operations,9/29/1987,100232,Voluntarily Terminated,M,Amanda Gregory,Divorced,Exceeded Expectations,Production Technician I,Did not return from maternity,2,38,5,0,61823
40,8/23/2012,1/12/2015,1/27/2015,Operations,4/29/1980,100233,Voluntarily Terminated,F,Erik Baker,Single,Improvement Needed,Production Technician I,Career Change,16,45,3,0,51902
50,9/1/2012,6/12/2015,6/27/2015,Operations,8/5/1969,100234,Voluntarily Terminated,F,Karen Linberg,Single,Met Expectations,Production Technician I,Relocated,11,56,5,0,63104
40,9/3/2012,1/25/2019,,Operations,12/16/1981,100235,Active,M,Jan Ramsey,Single,Met Expectations,Production Manager,NA - Still Employed,1,44,3,0,84682
60,9/10/2012,4/10/2015,4/25/2015,IT,11/13/1964,100236,Voluntarily Terminated,M,Jen Heinz,Divorced,Met Expectations,IT Manager - DB,Attendance,5,61,5,0,151583
40,9/11/2012,7/10/2019,,Operations,8/2/1977,100237,Active,F,Emily Albright,Single,Exceeded Expectations,Production Technician I,NA - Still Employed,5,48,5,0,61782
30,9/13/2012,1/12/2019,,Sales,2/17/1989,100238,Active,F,Lyndon Johnson,Married,Met Expectations,Area Sales Manager,NA - Still Employed,11,36,5,0,63755
70,9/22/2012,12/9/2015,12/24/2015,Operations,6/12/1953,100239,Voluntarily Terminated,F,Will Bailey,Single,Met Expectations,Production Technician I,Retired,4,72,4,0,55350
40,9/26/2012,2/16/2019,,Software Engineering,12/23/1979,100240,Active,F,Alan Mitchell,Single,Met Expectations,Software Engineer,NA - Still Employed,5,46,5,3,103050
40,9/26/2012,2/12/2019,,Operations,3/2/1977,100241,Active,M,Lindsay Graham,Single,Met Expectations,Production Technician II,NA - Still Employed,2,48,5,0,74046
40,9/27/2012,2/10/2019,,Operations,1/5/1982,100242,Active,F,Brendan Pitt,Married,Met Expectations,Production Technician I,NA - Still Employed,2,43,5,0,59142
50,9/27/2012,6/24/2013,7/9/2013,Operations,5/8/1971,100243,Voluntarily Terminated,F,Amanda Gregory,Divorced,Met Expectations,Production Technician I,Unhappy,3,54,5,0,51114
30,10/4/2012,4/8/2019,,Operations,9/5/1987,100244,Active,M,David Clarke,Married,Met Expectations,Production Technician I,NA - Still Employed,6,38,5,0,46398
40,10/11/2012,5/31/2017,6/15/2017,Operations,12/5/1977,100245,Voluntarily Terminated,M,Micheal Miller,Divorced,Met Expectations,Production Technician I,Found a better Job,16,48,5,0,53030
50,10/22/2012,9/13/2017,9/28/2017,Operations,2/21/1973,100246,Voluntarily Terminated,M,Emily Albright,Widowed,Met Expectations,Production Technician I,Attendance,11,52,4,0,55114
40,1/7/2013,2/13/2019,,Operations,12/29/1984,100247,Active,F,Erik Baker,Divorced,Met Expectations,Production Technician I,NA - Still Employed,2,41,4,0,66090
50,1/22/2013,3/6/2019,,Operations,7/24/1967,100248,Active,F,Brendan Pitt,Divorced,Exceeded Expectations,Production Technician I,NA - Still Employed,18,58,3,0,54125
50,1/23/2013,3/18/2019,,IT,9/17/1973,100249,Active,M,Jen Heinz,Single,Met Expectations,IT Manager - DB,NA - Still Employed,12,52,5,0,142403
40,1/30/2013,6/5/2016,6/20/2016,Operations,2/12/1984,100250,Voluntarily Terminated,M,Emily Albright,Married,Met Expectations,Production Technician I,Went for higher paying job,2,41,4,0,50988
50,3/6/2013,1/17/2019,,Operations,11/14/1967,100251,Active,F,Brendan Pitt,Divorced,Met Expectations,Production Technician I,NA - Still Employed,8,58,5,0,61246
40,3/20/2013,4/13/2018,4/28/2018,Software Engineering,4/22/1984,100252,Voluntarily Terminated,M,Alan Mitchell,Single,Met Expectations,Software Engineer,Health,2,41,4,0,103454
50,5/15/2013,2/10/2019,,Operations,4/21/1974,100253,Active,M,Micheal Miller,Divorced,Met Expectations,Production Technician II,NA - Still Employed,8,51,5,0,79328
50,5/28/2013,1/17/2019,,Operations,12/31/1970,100254,Active,F,Amanda Gregory,Single,Exceeded Expectations,Production Technician II,NA - Still Employed,6,55,4,0,75203
50,6/5/2013,6/20/2015,7/5/2015,Operations,8/9/1973,100255,Voluntarily Terminated,F,David Clarke,Divorced,Exceeded Expectations,Production Technician I,Unhappy,7,52,5,0,62971
